,name,console,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
205,Everybody's Golf,PS4,2017.0,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56
206,The Amazing Spider-Man 2 (2014),PS4,2014.0,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56
207,DOOM VFR,PS4,2017.0,Shooter,Bethesda Softworks,0.22,0.25,0.0,0.09,0.56
208,Sonic Forces,PS4,2017.0,Platform,Sega,0.15,0.31,0.01,0.09,0.56
209,Kingdom Come: Deliverance,PS4,2018.0,Role-Playing,Deep Silver,0.18,0.28,0.0,0.09,0.56
210,Lords of the Fallen,PS4,2014.0,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55
211,Sniper Elite 4,PS4,2017.0,Shooter,Rebellion Developments,0.21,0.25,0.0,0.09,0.55
212,Rory McIlroy PGA Tour,PS4,2015.0,Sports,Electronic Arts,0.19,0.27,0.0,0.09,0.55
213,Project CARS 2,PS4,2017.0,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55
214,Skylanders: Trap Team,PS4,2014.0,Platform,Activision,0.25,0.18,0.0,0.09,0.52
215,NHL 17,PS4,2016.0,Sports,EA Sports,0.32,0.11,0.0,0.09,0.52
216,One Piece: Pirate Warriors 3,PS4,2015.0,Action-Adventure,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52
217,DiRT Rally,PS4,2016.0,Racing,Codemasters,0.13,0.3,0.0,0.08,0.51
218,Homefront: The Revolution,PS4,2016.0,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5
219,Attack on Titan (KOEI),PS4,2016.0,Action-Adventure,Tecmo Koei,0.08,0.24,0.12,0.06,0.5
220,DiRT 4,PS4,2017.0,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49
221,Farpoint,PS4,2017.0,Shooter,Sony Interactive Entertainment,0.0,0.38,0.04,0.06,0.48
222,Battleborn,PS4,2016.0,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48
223,A Way Out,PS4,2018.0,Action-Adventure,Electronic Arts,0.23,0.16,0.0,0.08,0.48
224,Friday the 13th: The Game,PS4,2017.0,Action-Adventure,Gun Media,0.29,0.09,0.03,0.08,0.48
225,The Walking Dead: A Telltale Games Series,PS4,2014.0,Action-Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48
226,Wolfenstein: The Old Blood,PS4,2015.0,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48
227,Deadpool,PS4,2015.0,Action-Adventure,Activision,0.26,0.13,0.0,0.08,0.47
228,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016.0,Action-Adventure,Square Enix,0.05,0.09,0.3,0.03,0.47
229,TrackMania Turbo,PS4,2016.0,Racing,Ubisoft,0.04,0.35,0.0,0.07,0.47
230,Knack 2,PS4,2017.0,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47
231,Just Dance 2014,PS4,2013.0,Music,Ubisoft,0.21,0.18,0.0,0.08,0.47
232,Dissidia Final Fantasy NT,PS4,2018.0,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46
233,Skylanders: SuperChargers,PS4,2015.0,Action-Adventure,Activision,0.29,0.09,0.0,0.08,0.45
234,Yakuza Kiwami,PS4,2016.0,Action-Adventure,Sega,0.13,0.07,0.21,0.04,0.45
235,Tales of Zestiria,PS4,2015.0,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07,0.45
236,Star Ocean 5: Integrity and Faithlessness,PS4,2016.0,Role-Playing,Square Enix,0.1,0.13,0.16,0.05,0.45
237,Sleeping Dogs,PS4,2014.0,Action-Adventure,Square Enix,0.16,0.21,0.0,0.07,0.44
238,Skylanders SWAP Force,PS4,2013.0,Other,Activision,0.23,0.14,0.0,0.08,0.44
239,Skylanders Imaginators,PS4,2016.0,Platform,Activision,0.18,0.18,0.0,0.07,0.43
240,Trials Fusion,PS4,2014.0,Other,Ubisoft,0.13,0.23,0.01,0.07,0.43
241,Saints Row IV,PS4,2015.0,Action-Adventure,Deep Silver,0.15,0.18,0.03,0.06,0.42
